Title,Title_URL,serif
How to start connecting your data in Airtable,https://blog.airtable.com/how-to-start-connecting-your-data/,"Want to create alignment throughout your org? Start by importing and syncing your data.
"
A new Airtable ebook for marketing leaders,https://blog.airtable.com/cost-effective-marketing-strategies-ebook/,"“You need to be more creative about how you use your time and resources. That's when magic happens.” — Adam Broitman, partner at McKinsey.
"
Mastering data design: 7 tips from an Airtable champion,https://blog.airtable.com/mastering-data-design-7-tips-from-an-airtable-champion/,"In this Community Spotlight, Brennan Young discusses what he wishes he had known when he started using Airtable.
"
How to onboard and manage freelancers in Airtable,https://blog.airtable.com/how-to-onboard-and-manage-freelancers-in-airtable/,"Create a handy app that ensures your deliverables go out and your vendors get paid.
"
Build for change: 5 takeaways from the Airtable Leaders Forum,https://blog.airtable.com/airtable-leaders-forum-2023-nyc/,"“We’re facing a new wave of transformation, and the biggest question facing companies is: How will you adapt?” — Howie Liu, CEO at Airtable
"
"New: Drive results with AI, preconfigured apps, and connected data",https://blog.airtable.com/drive-results-with-ai-preconfigured-apps-and-connected-data/,"Transform workflows with AI, verify critical data, and get started with preconfigured apps.
"
3 ways to create more intuitive interfaces,https://blog.airtable.com/3-ways-to-create-more-intuitive-interfaces/,"Seamless collaboration is possible with these Interface Designer tips.
"
How to manage content reviews in Airtable,https://blog.airtable.com/how-to-manage-content-reviews-in-airtable/,"When you have blogs and videos that need reviewing, follow these steps.
"
What’s new in Airtable: April 2023,https://blog.airtable.com/whats-new-in-airtable-april-2023/,"Turn records into templates you can use again and again, add fields directly to interfaces, and more this month.
"
New ways to build secure and scalable solutions,https://blog.airtable.com/new-ways-to-build-secure-solutions-at-scale/,"Protect data and customize workflows with enterprise-ready API and admin capabilities.
"
"List View: your questions, answered",https://blog.airtable.com/list-view-your-questions-answered/,"We answered some of our Community’s most frequently asked questions about this project-oriented view type.
"
How to manage SEO in Airtable,https://blog.airtable.com/how-to-manage-seo-in-airtable/,"Import keyword research and get signoffs on SEO-informed content, all from one, connected place.
"
How to convince your marketing team you need Airtable,https://blog.airtable.com/how-to-convince-your-marketing-team-you-need-airtable/,"Do you want to change the way your marketing team works?
"
The top 5 challenges of large-scale product teams,https://blog.airtable.com/enterpise-product-management-challenges/,"And what to do when your processes don’t deliver.
"
How two global companies are reinventing cross-collaboration,https://blog.airtable.com/how-two-global-companies-are-reinventing-cross-collaboration/,"If you’re looking to compound Marketing’s impact, start with strengthening your connection with cross-functional partners.
"
What’s new in Airtable: March 2023,https://blog.airtable.com/whats-new-in-airtable-march-2023/,"It’s even easier to build customized apps with updated Interface Designer capabilities, a brand-new view, and more.
"
New Interface Designer updates to build even more powerful apps,https://blog.airtable.com/build-powerful-apps-with-interface-designer-updates/,"These features make it easier and more intuitive for anyone to create and use custom apps.
"
How 6 world-class companies make an outsized impact with shared data,https://blog.airtable.com/world-class-companies-use-connected-apps/,"Leading global companies are using connected apps to dismantle silos.
"
What does world-class campaign planning look like?,https://blog.airtable.com/world-class-campaign-planning/,"Campaigns are the heartbeat of your marketing team. Good campaign planning leads to a delightful customer experience and paves a seamless journey from awareness to conversion.
"
Three easy ways to manage collaboration in Airtable,https://blog.airtable.com/three-easy-ways-to-manage-collaboration-in-airtable/,"How to track and protect data as your team’s use of Airtable grows.
"
Work faster together with List View,https://blog.airtable.com/work-faster-together-with-list-view/,"A new view that lets you connect and structure your whole team’s work–from the big picture down to the little details.
"
What’s new in Airtable: February 2023,https://blog.airtable.com/whats-new-in-airtable-february-2023/,"Manage multiple fields at once, protect your data with new API authentication features, and more.
"
Are your SaaS tools distracting from the real work?,https://blog.airtable.com/how-saas-tools-distract-from-the-real-work/,"Ilan Frank, VP of Product at Airtable, digs into the uncomfortable question: “What could your team be doing instead?”
"
Complete calculations and create buttons with computed fields,https://blog.airtable.com/advanced-computed-fields/,"No need to make manual updates in your base or interface–just use these advanced computed fields.
"
Get to know your new Airtable Community,https://blog.airtable.com/new-airtable-community/,"Learn, share, connect, and get inspired.
"
2022 in review: The biggest Airtable updates,https://blog.airtable.com/airtable-year-in-review-2022/,"Reflecting on a year of connection.
"
How product teams can prepare for 2023,https://blog.airtable.com/how-product-teams-can-prepare-for-2023/,"Here are 5 essential resources for product operations teams in the new year.
"
Track changes to records with computed fields,https://blog.airtable.com/track-changes-with-computed-fields/,"Get automatic context about your records in Airtable–no coding necessary.
"
9 essential templates for video production teams,https://blog.airtable.com/9-templates-for-video-production-teams/,"Use these guides to keep video teams organized—from script to screen.
"
Is software fracturing your organization?,https://blog.airtable.com/how-software-is-fracturing-your-organization/,"A new commissioned study by Forrester shows that when leaders adopt software at the team-level, they risk deepening silos and missing critical insights from across the org. Your team might be moving at lightning speed, but at what cost?
"
What’s new in Airtable: December 2022,https://blog.airtable.com/whats-new-in-airtable-december-2022/,"We’re kicking off the holiday season with features to manage your base and connect with collaborators.
"
How to use Airtable to spot internet trends,https://blog.airtable.com/trend-spotting/,"Pop culture watchers built sophisticated automations to boost their podcast.
"
The productivity paradox: How low/no-code tools empower teams beyond silos,https://blog.airtable.com/the-promises-low-code-platforms-should-deliver/,"Airtable was recently named a “rising star” in low- and no-code technology by analyst firm ISG. In this post Ilan Frank, VP of Product at Airtable, shares his perspective on the promises low/no-code platforms should deliver.
"
How Airtable helps educators teach Asian American history,https://blog.airtable.com/how-airtable-helps-educators-teach-asian-american-history/,"Asian Americans Advancing Justice Chicago built a resource database so Illinois educators can easily access lessons.
"
3 tips for planning holiday travel with Airtable [2022 edition],https://blog.airtable.com/holiday-travel-planning-tips-using-airtable/,"These travel tips from pros will help you keep your holiday details straight.
"
How an Airtable product ops strategist makes roadmap updates at scale,https://blog.airtable.com/how-an-airtable-product-ops-strategist-makes-roadmap-updates-at-scale/,"Learn how the team uses Airtable automations to manage roadmap communications at scale.
"
How to use Airtable to untangle supply chains,https://blog.airtable.com/how-to-use-airtable-to-untangle-supply-chains/,"A nimble robotics company replaces parts faster and cut its build time in half.
"
Transform collaboration with Interface Designer permissions,https://blog.airtable.com/interface-designer-permissions/,"A more elegant, dynamic, and secure way to create apps.
"
Connection Changes Everything: 5 Takeaways from the Airtable Leaders Forum,https://blog.airtable.com/airtable-leaders-forum-2022/,"Customers, community champions, and partners came together in San Francisco to explore what’s next for our organizations in a world where every industry is reinventing itself through software.
"
Run a content audit in Airtable,https://blog.airtable.com/how-to-run-a-content-audit/,"5 tips from a pro on how to conduct a content audit, and why every company should.
"
How companies run budgets and track costs in Airtable,https://blog.airtable.com/how-companies-run-budgets-and-track-costs-in-airtable/,"Ditch your accounting software and build a more flexible bookkeeping system.
"
Introducing the new Airtable Connected Apps Platform,https://blog.airtable.com/building-custom-apps-in-airtable/,"New features to help you build, connect, and share apps across your organization.
"
"Connected apps platforms help entire organizations move quickly, together",https://blog.airtable.com/introducing-connected-apps-platforms/,"A connected apps platform allows teams to build and customize workflows on top of shared data. The result? Deep cross-functional alignment and an unprecedented pace of company-wide momentum.
"
4 ways marketing agencies use Airtable,https://blog.airtable.com/4-ways-marketing-agencies-use-airtable/,"See how marketing groups use Airtable to stay organized, manage projects, and pull off ambitious events.
"
What’s new in Airtable: September 2022,https://blog.airtable.com/whats-new-in-airtable-september-2022/,"Tune into this month for our roundup of product updates (and find out who won our first-ever Interface Designer contest!)
"
New updates to make creating and collaborating easier,https://blog.airtable.com/create-and-collaborate-easily-in-airtable/,"A global add button, grouping suggestions, and more–building in Airtable is simpler with these updates.
"
Top 6 free templates for building a CRM in 2022,https://blog.airtable.com/top-6-templates-for-building-a-crm/,"Skip buying expensive off-the-shelf software and design your own customer relationship management system.
"
Announcing the winners of Airtable’s Interface Designer Contest,https://blog.airtable.com/announcing-the-winners-of-interface-designer-contest/,"From a marketing launch dashboard to a high school teaching aid, 9 Airtable users wowed us with their creative uses of Interface Designer.
"
How Airtable’s Quality Engineers use Airtable (to test Airtable),https://blog.airtable.com/how-quality-engineers-use-airtable-to-test-airtable/,"Automating manual steps saved the internal testing team 45 hours per week.
"
How high-growth companies use Airtable as a CRM,https://blog.airtable.com/airtable-as-crm/,"Lessons from entrepreneurs on why a nimble customer relationship management system helps you get ahead.
"
Celebrating Latin & Hispanic Heritage Month with RingCentral and Estúdio Nômade,https://blog.airtable.com/celebrating-latin-hispanic-heritage-month-with-ringcentral-and-estudio-nomade/,"Learn why Nomade calls Airtable the 'Disneyland of spreadsheets,' and why web accessibility improves digital experiences for all.
"
5 essential templates for content teams,https://blog.airtable.com/5-essential-templates-for-content-teams/,"These easy-to-customize templates keep content teams organized and on track.
"
When to use Airtable integrations,https://blog.airtable.com/when-to-use-airtable-integrations/,"Using Google Calendar for meetings, or Stripe for customer payments? No problem–connecting your fave services to Airtable is a cinch.
"
Organize your oddball collection in Airtable,https://blog.airtable.com/organize-odd-collections-in-airtable/,"Build the perfect base for your Banksy art or emoji spells.
"
What does collaboration really mean?,https://blog.airtable.com/what-collaboration-really-means/,"Ilan Frank, VP of Product at Airtable, explores how easy it is to confuse collaboration and conversation when what we really need is something else entirely.
"
What’s new in Airtable: August 2022,https://blog.airtable.com/whats-new-in-airtable-august-2022/,"Relabel your records, add four button types to your interface, and more.
"
How to establish relationships and rules within a database,https://blog.airtable.com/how-to-establish-relationships-and-rules-within-a-database/,"After you’ve put some database fundamentals into place, learn how to make the information sing together.
"
How Airtable can aid your job search,https://blog.airtable.com/how-airtable-can-aid-your-job-search/,"A job coach’s tips for finding the perfect next gig.
"
The proof: why investing in marketing workflows leads to stronger outcomes,https://blog.airtable.com/streamlining-marketing-workflows/,"As marketers, we don’t always prioritize workflows. And yet, this year’s Marketing trends report shows that investing in workflow efficiency ultimately frees you to focus on the work you enjoy most.
"
Watch: Highlights from Airtable’s London Customer Showcase,https://blog.airtable.com/highlights-airtable-london/,"European Airtable fans discussed new ways of working at a kickoff gathering for Airtable in London.
"
When to use the automation trigger types in Airtable,https://blog.airtable.com/when-to-use-automation-triggers-in-airtable/,"Triggers are the matches that fire off your automation’s actions–here are some of the most popular uses.
"
How to keep stakeholders informed in Airtable,https://blog.airtable.com/how-to-keep-stakeholders-informed-in-airtable/,"Your work is always changing–here are three ways to keep teams updated in your base.
"
What’s new in Airtable: July 2022,https://blog.airtable.com/whats-new-in-airtable-july-2022/,"More support for your growing team, new filtering options, and a fresh UI redesign.
"
How to manage your time effectively,https://blog.airtable.com/time-management-skills/,"9 tips for gaining hours back and working more efficiently.
"
Scale confidently with new tools to manage growing workflows,https://blog.airtable.com/admins-and-creators-scale-with-airtable/,"From increased record limits to new base insights, we’re introducing new features so Airtable can evolve with your workflows.
"
Three takeaways from the 2022 Marketing trends report,https://blog.airtable.com/2022-marketing-trends-report-takeaways/,"We surveyed more than 300 marketing professionals to see how their roles have changed in the last year. These are the highlights.
"
5 template ideas for serious hobbyists,https://blog.airtable.com/5-template-ideas-for-serious-hobbyists/,"This template roundup provides a starting point to nurture your passion.
"
Make reviews and approvals easy in Airtable,https://blog.airtable.com/reviews-approvals-in-airtable/,"Set up your base so you can quickly snag those thumbs-ups and sign-offs.
"
How 6 friends used Airtable for angel investing,https://blog.airtable.com/airtable-for-angel-investing/,"TBD Angels is now one of the country's fastest-growing investment groups; a founder spun off a brand new platform.
"
How to create a Voice of the Customer program,https://blog.airtable.com/how-to-create-a-voice-of-the-customer-program/,"8 tips from product leaders at Figma, Etsy, Google, and more.
"
Celebrating Pride Month with CMFD Consulting and For Them,https://blog.airtable.com/celebrating-pride/,"Learn about queer wellness and Chris Dancy's consulting projects.
"
What’s new in Airtable: June 2022,https://blog.airtable.com/whats-new-in-airtable-june-2022/,"See document automator in action, close form submissions, and join our live virtual events.
"
10 templates for startup founders,https://blog.airtable.com/10-templates-for-startup-founders/,"For startup founders with stars in your eyes: this roundup of templates will plant your feet firmly on the ground.
"
Airtable Apps are now “Airtable Extensions”,https://blog.airtable.com/introducing-airtable-extensions/,"New name, same great functionality.
"
Streamline your workflow with multi-source syncing,https://blog.airtable.com/streamline-work-with-multi-source-sync/,"Connect multiple sources to Airtable so you have all of the info you need.
"
Three takeaways from the 2022 product insights report,https://blog.airtable.com/product-insights-report-takeaways/,"We surveyed over 700 product professionals to learn how their teams work—and how they drive impact. These are the highlights.
"
Generate reports & updates with document automator,https://blog.airtable.com/introducing-airtable-document-automator/,"Save time and keep folks aligned with this latest Google Docs automation.
"
"SMART goals: How to set measurable, achievable goals",https://blog.airtable.com/smart-goals/,"In Airtable, using the SMART method is a breeze.
"
Employee satisfaction: The unexpected benefit of no code adoption,https://blog.airtable.com/employee-satisfaction-the-unexpected-benefit-of-no-code-adoption/,"“No code tools are leading to greater empowerment at the edge of the organization,” Scott Brinker says. This holds great promise for increasing employee engagement as organizations battle the ‘Great Resignation’ and compete to keep people inspired.
"
When to use automation actions in Airtable,https://blog.airtable.com/when-to-use-automation-actions-in-airtable-2/,"There are lots of automation actions available–which should you use and when?
"
Five networking templates to boost your connections,https://blog.airtable.com/five-networking-templates-to-boost-your-connections/,"Whatever your end game, give your networking efforts a major boost with this roundup of Airtable templates.
"
What is a relational database? [Updated 2022],https://blog.airtable.com/what-is-a-relational-database/,"The quickest path to understanding relational databases and how you can best use them is to dissect a database into its specific components. These are the basic building blocks of any relational database, whether for a simple use case or to run your entire business.
"
Six starter templates for small businesses,https://blog.airtable.com/six-starter-templates-for-small-businesses/,"Get your work organized from the get-go with these easily customizable templates.
"
Highlight key info in Airtable with color-coding,https://blog.airtable.com/highlight-key-info-in-airtable-with-color-coding/,"Use color to make things pop, including the details you want collaborators to see in your base.
"
"How to create a 10,000-person event in 60 days",https://blog.airtable.com/how-to-plan-a-10-000-person-event/,"Scale AI’s CMO explains how he used Airtable to build an AI conference from scratch.
"
What’s new in Airtable: May 2022,https://blog.airtable.com/whats-new-in-airtable-may-2022/,"A brand-new integration. Snazzy features to help you design a functional interface. Another Community AMA. All of that and more!
"
Create a strong primary field in Airtable,https://blog.airtable.com/create-a-strong-primary-field-in-airtable/,"The more unique your primary field is, the easier it is to understand the info in your base. 👍
"
Three ways to improve your product feedback loop,https://blog.airtable.com/three-ways-to-improve-your-product-feedback-loop/,"Customer feedback is the heart of the product development lifecycle—here’s how to make sure you’re capturing it all.
"
How Jenny Bodenlos solves the ‘red thread’ problem in Airtable,https://blog.airtable.com/how-jenny-bodenlos-solves-the-red-thread-problem-in-airtable/,"BlueOcean’s Head of Enterprise PMO explains how she built 3 critical interfaces.
"
Announcing Airtable’s new integration with Miro,https://blog.airtable.com/airtable-miro-integration-announcement/,"This latest integration lets you connect your ideas directly to your base–so you can turn brainstorms into concrete plans.
"
Celebrating Asian & Pacific Islander Heritage Month with Great Pods and Echo India,https://blog.airtable.com/asian-pacific-islander-heritage-orgs/,"Learn about a healthcare revolution in India and the Rotten Tomatoes of podcasts.
"
An easier way to design interfaces,https://blog.airtable.com/interface-designer-product-updates-2/,"Special delivery! Power-up Airtable’s Interface Designer with this latest batch of elements.
"
How an Airtable scoring system can help you make predictions with confidence,https://blog.airtable.com/how-an-airtable-scoring-system-helps-you-make-more-confident-decisions/,"We created an Airtable app to predict the success of reality TV show contestants. You can build your own to see which projects deserve your time.
"
JClay uses Airtable to make hip-hop for a broken world,https://blog.airtable.com/jclay-hip-hop-in-airtable/,"A NASA programmer turned entrepreneur builds automations for creating, coaching, and healing.
"
Manage employee onboarding in Airtable,https://blog.airtable.com/manage-employee-onboarding-in-airtable/,"Get all the important documentation you need and welcome new hires to the team.
"
Six templates to aid product ops teams during a software outage,https://blog.airtable.com/blog-airtable-com-6-templates-for-software-outages/,"When your software goes down, Airtable can help.
"
Watch: Highlights from an (unofficial) Airtable user conference,https://blog.airtable.com/watch-highlights-from-the-unofficial-airtable-user-conference/,"At DareTable, Airtable fans trade tips, give demos, and meet—often for the first time.
"
How to design more efficient workflows,https://blog.airtable.com/how-to-design-more-efficient-workflows/,"Tips from operations chiefs in Miami and Austin on streamlining processes and reducing manual work.
"
What’s new in Airtable: April 2022,https://blog.airtable.com/whats-new-in-airtable-april-2022/,"☂️ We’re showering you with more automations updates, new ways to help you manage resources, an inside look at Equinox Media, and more.
"
Introducing new features to create and run automations in Airtable,https://blog.airtable.com/airtable-automations-updates-april-2022/,"Fix mistakes, run tests, and create automations with more confidence.
"
How Airtable makes it easier for nonprofits to go green,https://blog.airtable.com/a-nonprofit-finds-airtable-makes-it-easier-being-green/,"One Tree Planted used Airtable to boost its growth.
"
How to guide your team with emoji in Airtable,https://blog.airtable.com/how-to-guide-your-team-with-emoji-in-airtable/,"Use emoji to quickly 🚩 flag a record that needs updating or ✨ make your base stand out.
"
Tracking influencers and their social media growth in Airtable,https://blog.airtable.com/tracking-social-media-growth-in-airtable/,"On NBC’s American Song Contest, success on social media has little to do with the competition itself.
"
How to make compelling CTAs in Airtable using buttons,https://blog.airtable.com/how-to-make-ctas-in-airtable-with-buttons/,"Fire off complex actions with a single click.
"
New: Allocate your resources in Airtable’s Timeline view,https://blog.airtable.com/introducing-resource-allocation-for-timeline-view/,"Manage your team’s weekly capacity or anticipate project durations with these new Timeline view features.
"
What is scripting?,https://blog.airtable.com/what-is-scripting/,"Learn how to use Airtable’s Scripting tools to remove humdrum tasks from your work life.
"
How to sync Airtable to any calendar,https://blog.airtable.com/how-to-sync-airtable-to-any-calendar/,"Keep your calendar up-to-date with all that goes on in your base.
"
What is a database? Everything you need to know. [Updated 2022],https://blog.airtable.com/what-is-a-database/,"A database is a collection of data that is organized so the information within can be easily accessed later. Your data will be more accurate, reliable, and easy to use if you have a database.
"
Using data to analyze TV's next big competition,https://blog.airtable.com/american-song-contest-week-1/,"We teamed up with NetBase Quid for insights.
"
How no code is reshaping marketing,https://blog.airtable.com/how-no-code-is-reshaping-marketing/,"A conversation with Scott Brinker on the rise of citizen creators.
"
What’s new in Airtable: March 2022,https://blog.airtable.com/whats-new-in-airtable-march-2022/,"☘️ It’s your lucky month! We’ve got new ways to spot errors in automations and formulas, a new consultant directory, and more.
"
4 useful Airtable templates for students,https://blog.airtable.com/4-airtable-templates-for-students/,"We have your workflows covered, whether you’re studying for finals or looking for summer jobs.
"
Airtable vs. Asana: What’s the difference?,https://blog.airtable.com/airtable-vs-asana/,"Wondering which platform to choose for your business? We break it down here.
"
Celebrating Women’s History Month with iHeartMedia and Freedom Forward,https://blog.airtable.com/celebrating-womens-history-month-with-iheartmedia-and-freedom-forward/,"Airtable celebrates Women's History Month with spotlights of two Airtable-powered organizations.
"
How to automate slide decks using Airtable’s page designer,https://blog.airtable.com/how-to-automate-slide-decks-using-airtables-page-designer/,"Save yourself the time and effort of doing the same tasks weekly.
"
Updated: the 10 best extensions to streamline your workflow,https://blog.airtable.com/best-apps-to-streamline-your-workflow/,"Learn shortcuts for importing CSVs, emailing contacts, and exporting attachments.
"
How Airtable can support freelancers,https://blog.airtable.com/how-airtable-can-support-freelancers/,"Maintaining a steady stream of clients and managing projects is a cinch with an Airtable base.
"
Equinox Media used Airtable to build a dream content production machine,https://blog.airtable.com/equinox-media-content-production/,"Airtable serves as one source of truth for a fast-moving team.
"
Airtable vs. Monday: What’s the difference?,https://blog.airtable.com/airtable-vs-monday/,"Both Airtable and Monday help teams manage their workflows, so which is best for your team?
"
Airtable powers Madison Butler's Black Speakers Collection,https://blog.airtable.com/madison-butler/,"Butler’s advice for businesses: prioritize diversity every month of the year.
"
Airtable vs. Smartsheet: A side-by-side comparison,https://blog.airtable.com/airtable-vs-smartsheet/,"Should you choose Airtable or Smartsheet to handle your workflows? We have answers.
"
Celebrating Black History Month with Frauvis and Nextplay,https://blog.airtable.com/frauvis-nextplay/,"Airtable celebrates Black History Month with spotlights of Frauvis and Nextplay.
"
Updated for 2022: make Airtable the ultimate budget tracker,https://blog.airtable.com/9-ways-to-make-airtable-the-ultimate-budget-tracker/,"For corporate projects, events, or family budgeting, Airtable lets you
track your spending habits more clearly.
"
How to crown data champions in your company,https://blog.airtable.com/improve-data-access-with-unito/,"Tips for improving data access across teams with Airtable and Unito.
"
What’s new in Airtable: February 2022,https://blog.airtable.com/whats-new-in-airtable-february-2022/,"Valentine’s Day may be over, but our latest batch of updates is here to stay.
"
New functionality for Airtable’s Interface Designer,https://blog.airtable.com/interface-designer-product-updates-1/,"Unlock new workflows with chart improvements, record review grouping, and a brand-new gallery element.
"
How Baker Hughes uses Airtable to drive transformation,https://blog.airtable.com/how-baker-hughes-uses-airtable-to-drive-transformation/,"When 114-year-old Baker Hughes chose to transform its operations in a fast-changing energy landscape, the Communications team turned to Airtable.
"
New food blogging conference teaches Airtable tips,https://blog.airtable.com/new-food-blogging-conference-teaches-airtable-tips/,"‘Airtable fanatics’ instruct on content calendars, newsletter building, and editorial planning.
"
Why is UX design at Airtable different?,https://blog.airtable.com/ux/,"A Q&A with Head of Research Andy Warr on Airtable’s UX strategy and the pandemic’s effect on his field.
"
Task management vs. project management: What’s the difference?,https://blog.airtable.com/task-management-vs-project-management/,"Learn the difference between tasks and projects and how to choose technology to tackle both.
"
A start-up battles canine cancers with Airtable,https://blog.airtable.com/fidocure-battles-canine-cancers/,"FidoCure streamlined processes to treat more dogs, and pulled off the largest-ever canine genomics study.
"
How to use Airtable for successful brainstorming,https://blog.airtable.com/how-to-use-airtable-for-successful-brainstorming/,"Gather ideas from your team in real-time and then take action.
"
How Zendesk built an Airtable app that supports start-ups,https://blog.airtable.com/how-zendesk-built-an-airtable-app-that-supports-startups/,"The app led to a 233% increase in referrals to Zendesk’s startup partnership program.
"
Top 10 remote work templates for 2022,https://blog.airtable.com/top-10-remote-work-templates-for-2022/,"Remote teams are rethinking productivity and looking for new ways to stay organized. These templates will help you streamline your processes.
"
When to use record-specific elements in Airtable,https://blog.airtable.com/when-to-use-record-specific-elements-in-airtable/,"Get your team to make moves with the record picker and comment elements in Interface Designer.
"
How to use Airtable to support your nonprofit work,https://blog.airtable.com/how-to-use-airtable-to-support-your-nonprofit-work/,"Nonprofit workers do it all. Airtable can help—whether you’re putting out a call for volunteers or tracking grant deadlines.
"
What’s new in Airtable: January 2022,https://blog.airtable.com/whats-new-in-airtable-january-2022/,"We’re bringing you a slew of product updates this January. Let’s get into it.
"
Sizing up baby with Airtable,https://blog.airtable.com/sizing-up-baby/,"A former Amazon manager created a clever service for expecting parents.
"
How a hops farmer transformed into a TikTok star,https://blog.airtable.com/hops-farmer-tiktok-star/,"Julian Post's latest brew-haha? Building a career around Airtable tutorials.
"
Knock out New Year’s goals with tips from a pro,https://blog.airtable.com/knock-out-new-years-goals-with-tips-from-a-pro/,"Meet Chris Dancy, one of the world’s most connected people.
"
Sharpen your automations in Airtable with conditional logic,https://blog.airtable.com/conditional-logic-for-automations/,"Introducing a new way to support all of your most complex workflows: conditional logic.
"
Best practices for using Airtable’s Interface Designer,https://blog.airtable.com/interface-designer-best-practices/,"Check out these helpful tips from one of *the* product designers behind Interface Designer.
"
When to use design elements in Airtable,https://blog.airtable.com/when-to-use-design-elements-in-airtable/,"Take advantage of Interface Designer and create an interface that anyone can understand.
"
5 tips & tricks to cut supply chain chaos with Airtable,https://blog.airtable.com/5-tips-tricks-to-cut-supply-chain-chaos-with-airtable/,"Supply chain management tips for companies large and small—when the world is running low on just about everything.
"
Updated for 2022: How to build the best editorial calendar for your content,https://blog.airtable.com/best-editorial-calendar-for-your-content/,"An editorial calendar lets you plan, schedule, and manage content publishing—but no calendar is one-size-fits-all. Here's how to build one that works for you.
"
How to conduct customer research in Airtable,https://blog.airtable.com/how-to-conduct-customer-research-in-airtable/,"Learn how the rigidity of spreadsheets can cause headaches—and how Airtable can structure your findings so you can find the patterns.
"
Airtable’s favorite Universe bases of 2021,https://blog.airtable.com/top-universe-bases/,"We chose 11 stand-out bases (because who could pick just 10?)
"
2021 in review: The biggest Airtable updates,https://blog.airtable.com/airtable-year-in-review-2021/,"Taking a look back at all the way's Airtable changed this year.
"
What is a user interface?,https://blog.airtable.com/user-interface/,"Why a good user interface can make technology more accessible for all.
"
Task management: what it is and how to master it,https://blog.airtable.com/what-is-task-management/,"Cut down on the 'work of work' by prioritizing the right tasks at the right time.
"
Announcing Airtable's Series F Funding,https://blog.airtable.com/announcing-airtables-series-f-funding/,"Airtable secures $735 million to invest in its connected apps platform and expand adoption among the world’s largest companies.
"
When to use visual elements in Interface Designer,https://blog.airtable.com/when-to-use-visual-elements-in-interface-designer/,"Show off your interface’s information in a more ✨ vibrant ✨ way with Interface Designer’s visual elements.
"
New ways to sync data from outside sources in Airtable,https://blog.airtable.com/new-ways-to-sync-data-from-outside-sources-in-airtable/,"Synced information gives teams critical insights that they can act on.
"
Interface Designer to establish Airtable as a true app creation platform,https://blog.airtable.com/interface-designer-app-creation/,"For software engineers who joined Airtable in its early days, app creation was a distant dream. Interface Designer makes it a reality.
"
What makes a workflow management system great?,https://blog.airtable.com/what-is-a-workflow-management-system/,"Learn why workflows are so important, and what to look for in workflow management software.
"
