Title,Title_URL,Image,text_text_cg3pf,jsx5c8d5b4bcc2ebe5b
Get useful insights with workspace and page analytics,https://www.notion.so/help/guides/get-insights-with-page-workspace-analytics,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/ebEyXdvDnAKPW6WyJktF3/64a730ee87e96c87509ca5759358ffdf/workspace_analytics.png","Notion analytics provides insights into how your team members and collaborators interact with Notion, at both page and workspace level. See how people engage with individual pages and the workspace as a whole.",5 min read
Using Notion AI to extend your impact,https://www.notion.so/help/guides/using-notion-ai,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4N8g1QtquIZnIZJJvatjD1/b8872856448695d2c74e1a4851842fe4/using-notion-ai.png","Learn about what artificial intelligence is, as well as the current functions and limitations of this technology. ",3 min read
Migrating to Notion for Project Management,https://www.notion.so/help/guides/migrating-to-notion-for-project-management,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4V1ps5ntm7k9HyZwZVEAWu/f83676d8d3aacf6987f52d081453d6e7/Projects_and_tasks.png","In this guide, we’ll discuss how project management in Notion works, some of its key features, and best practices for keeping the most productive and connected workspace possible. ",10 min read
Create streamlined project management workflows using database automations,https://www.notion.so/help/guides/Create-streamlined-project-management-workflow-%20using-database-automations,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5muofRqMR47STOpe4T7IyR/3e5c8fdc1af25e931bd643bc2cd2902e/database_automations.png","Database automations give you the power to create custom workflows handling the repetitive admin tasks of project management, so you’ll spend less time clicking buttons and more time on high-impact work.",7 min read
Formulas 2.0: How to use Notion’s new and improved formulas with your existing setups,https://www.notion.so/help/guides/new-formulas-whats-changed,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1QYdyXxrkVkm3dIo1CxL0X/65cb76645026fe7390aea11372d58498/formulas_existing_users__1_.png","If you’ve used Notion’s formulas in the past, you may be wondering “what’s changed?” This guide breaks down what’s new and what that means for you as a formulas power user.",8 min read
Take these three steps before onboarding your team to Notion,https://www.notion.so/help/guides/three-steps-before-onboarding-to-notion,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/12YgNFDIBsl56xp5x1qjcd/ca7ba0dc02f3daa0b8f8710a9b772ec0/enterprise-onboarding.png","To set your large team up for success on Notion, do a bit of pre-work to make the rollout smooth — think about your use cases, know your toolstack, and give your team the basics. ",2 min read
Using Notion for issue tracking,https://www.notion.so/help/guides/using-notion-for-issue-tracking,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/01zvZuLjzc4cG0KQRCXSJR/3ee07115949fb7bb1afab4c93c6788c4/issue_tracking__1_.png","Notion makes it easy to build your own issue tracking system that fits your needs. In this video, we’ll show how you can create standardized tracking forms with templates, build custom views to follow progress, and use customized tags for better filtering and ownership.",
Grant the right level of access with teamspaces and groups,https://www.notion.so/help/guides/grant-access-teamspaces,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2Zzki2ATRnUuMQ97MzGKvR/f646a17f8cc4c2c868c5ad687f79655b/teamspaces-groups.png","Teamspaces and permission groups give you a simple way to provision company information and make sure everyone has access to what they need. Here, we’ll explain the different ways to share content and invite people to different parts of the workspace.",8 min read
Using Notion for product roadmaps,https://www.notion.so/help/guides/using-notion-for-product-roadmaps,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5SEEIuDTvVUCsIWnYe6YJk/d50244508eda10709ac31cbb2b8850f0/Product_roadmap__1_.png","For many companies, important information is scattered across various tools, creating a fragmented picture of what’s on their Product Roadmap. Product teams on Notion don’t have to worry about this problem, because they can create a living plan that connects to company goals, documentation, responsibilities and more.",
The status property gives you clarity on task progress,https://www.notion.so/help/guides/status-property-gives-clarity-on-tasks,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2XVH2kErQxkxs4lLwqjQPT/bec51c33144ce1899a81bc69dab16b5c/status-property.png",The status property for databases gives you a concrete view of task progress — with enough customization to suit any project's needs.,5 min read
This project management system helps your engineering team track every initiative,https://www.notion.so/help/guides/this-project-management-system-helps-your-engineering-team-track-every-initiative,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/22i2iOawfcpt1bJTeCJEsc/e07ae8c1c22a585e10d7a2144fda2906/engineering-project-management.png","A single system can manage every aspect of every project your engineering team is executing. In Notion, all the project work lives side-by-side deadlines and updates — saving you time bouncing between tools.",15 min read
A Notion guide on switching between work and personal accounts,https://www.notion.so/help/guides/a-notion-guide-on-switching-between-work-and-personal-accounts,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/62hZjDk9EcBU0dYWdwFSyX/58ef7c8597605bb5d8594731711bd3f4/Workspace_switcher__1_.png",Explore our comprehensive Notion guide on how to effortlessly toggle between your work and personal accounts. This tutorial video will streamline your Notion experience and boost your productivity.,
"10 AI prompts to help marketers write better copy, faster",https://www.notion.so/help/guides/10-ai-prompts-to-help-marketers-write-better-copy-faster,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3IImmt6mXvcyDxzdJkCm4u/4a3794598e34520be06f2bc37a738eb2/AI-For-Marketers__1_.png","Notion AI gives you endless inspiration for content and helps you whip up blog posts,  press releases, social media content, white papers, and more, to boost both creativity and efficiency. ",7 min read
5 ways to get more value out of your reading list with Notion AI,https://www.notion.so/help/guides/5-ways-to-get-more-value-out-of-your-reading-list-with-notion-ai,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/41t8Z34L6qm2YupLyhEY0p/b84ebd72bd31b61675d406652064b459/5_prompts_for_reading_list.png","Build your reading list or collect resources in Notion, then use AI to apply what you’ve learned.  Create summaries of documents, surface key insights from articles you’ve saved, translate or simplify text and much more.  ",6 min read
5 workflows to make your design team hyper efficient,https://www.notion.so/help/guides/5-workflows-to-make-your-design-team-hyperefficient,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1B6QIgK0VXszPtUoHYiITN/bc3eaee3935149a0f6b1dc128f0a5c25/design-webinar__1_.png","Making sure your design work is innovative, consistent, and finished on time is hard enough without having to work remotely. In this 30 minute video tour, we'll walk through five workflows to help your remote design team collaborate and communicate better.",
A designer's ultimate guide to using Notion,https://www.notion.so/help/guides/a-designers-ultimate-guide-to-using-notion,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/60OygYR7tvZ4tKcB1Qt1rI/cde7f7ba15736f5dc2e2502dd4eaf280/Notion_for_designers__2_.png",Explore our comprehensive guide to equip you with the skills to streamline your design workflow using Notion. Perfect for designers at any level.,
A documents database tailored for product teams,https://www.notion.so/help/guides/documents-database-for-product-teams,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5edIMHQ9Sob58JjueRMFGt/322b06df59782175b8e19fb34e94bbcb/docs-database-thumb.png",Customize your docs database to work for your product team with bespoke database templates and properties. ,6 min read
A guide to connecting projects and meeting notes,https://www.notion.so/help/guides/a-guide-to-connecting-projects-and-meeting-notes,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2HlzVxZWdbkKcI3RAft3LB/dcbae85344d48f5695997eac5d63fe21/connecting_projects_to_tasks__1_.png",Discover effective project management with our comprehensive Notion guide. Learn how to seamlessly connect your projects to tasks and meeting notes through our step-by-step tutorial video. Perfect for individuals and teams aiming for productivity and efficiency.,
A user research database to help product teams take action on feedback,https://www.notion.so/help/guides/user-research-database-product-teams,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3JW0WeAtEzqbzrA47wRqYW/48d84ffa769ad63554f857b90357b0e2/user-research.png","Research is a key component of creating a product that your users love. Using this Notion database, you can collect user research and make it actionable. ",8 min read
"Adding members, admins & guests",https://www.notion.so/help/guides/adding-members-admins-and-guests,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4NvttchhierGZMd8WPkbcd/dc10735f7c0e30614ebb1ae146a57753/members-guests-admins.png","Notion has lots of permission levels so that everyone on your team only has access to the settings & pages they need, whether you're a team of 10 or 1,000.
",
Assign custom database permissions to make your life easier,https://www.notion.so/help/guides/assign-custom-database-permissions,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6Z3YycYwk98XFyPxpg7x0T/24d4d6df3ba334c567dd681d6163ea0d/can-edit-content.png","The new “Can edit content” permission level prevents accidental edits to a database’s structure — views, filters, property names, property types & more — while still allowing your colleagues to edit the content inside the database pages. Learn how it can help you and your team move with less friction. ",3 min read
Automate work with repeating database templates,https://www.notion.so/help/guides/automate-work-repeating-database-templates,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/29VQGbDg8UrLfrDodb3dt1/02e2fad528b92adabfd8a32983e3337d/automate-repetitive-work.png","Automatically create repeating tasks, meeting notes and documents with repeating database templates. It’s easier than ever to keep your to-do list up to date, schedule meetings and generate all kinds of content on a regular basis.",5 min read
"Automatically generate blocks, pages and more with the click of a button",https://www.notion.so/help/guides/automatically-generate-blocks-pages-with-buttons,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2YZaUkLgJqDNPb2fiuZr2i/b0fe3143b623c6a4b0a6a57a5cd39f8c/buttons__1_.png","Create content, add pages, edit database entries and more using buttons. Buttons can speed up repetitive tasks, streamline your workflow and help you do several things at once.",8 min read
Best practices for internal communications on Notion,https://www.notion.so/help/guides/best-practices-internal-communications-on-notion,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7hbi0OfU4g1MEB3o8DjhuX/6755cbc95e4943ced0808acbb58b515d/best-practices-internal-communications.png","As your team grows, so does the need for high-quality communication and documentation. Learn features and strategies to keep your team on the same page, literally. ",7 min read
Block basics: build the foundation for your team’s pages,https://www.notion.so/help/guides/block-basics-build-the-foundation-for-your-teams-pages,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/XBxHGXXIDGndLluNvHEyC/29d5117216cfd3c2ca351ddd1d4f3351/page-blocks.png","Everything in a Notion page is a block — text, images, databases, and more. Using blocks, each page can be customized to your team’s needs. ",4 min read
Board view databases,https://www.notion.so/help/guides/board-view-databases,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/60fI8tr4wI2AxVygmmXniq/ed7c98cb9a173a47bdf2d1d33855d0a8/board-view-databases.png","One of Notion's most powerful features, Boards are the best way to manage projects & tasks. Use them to group your databases by select, multiselect, and person properties.",
Bring live links into your Notion workspace with link previews,https://www.notion.so/help/guides/notion-api-link-previews-feature,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1SIQg7lntv3NDFEozqNeS2/6afd470beeb838c3fbd49f05f5c4321b/link-previews.png","Link previews enables you to view real-time, synced visualizations of external tools like Jira, GitHub, Slack, Trello, and Asana inside your Notion pages. We'll continue to build support for additional integrations in the coming weeks and months.",3 min read
"Build a docs-first culture with a beautiful team wiki, powered by a database",https://www.notion.so/help/guides/build-a-docs-first-culture-with-a-beautiful-team-wiki-powered-by-a-database,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1tOFuYquQeucoYYqqQ3FDV/6baebc6fade1f773d811265e5cb1e641/wiki.png","Stale documentation leads to unnecessary thrash at work. When you convert your team's knowledge to a wiki, you'll be able to verify pages, assign owners, and ensure that your team's knowledge is always fresh.",8 min read
Build a journal in Notion,https://www.notion.so/help/guides/journal,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2ROSHBfyY6ilI8DRlL9s9V/2a4922446a59e779eeda0adcc0f5be7f/building-a-journal.png","Whether you're an avid journalist, or making journaling a new habit, you can store your entries in Notion! We'll show you two ways to build a journal in Notion, one for beginners, and one more advanced.",
Build a quick notes page in Notion,https://www.notion.so/help/guides/quick-notes,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/19zGMs2exkGCTYra00hRYM/9baf5e61c44af984019881bf3ee7af3f/quick-notes.png","If you're using Notion as an inbox for your thoughts & notes, things can start to get cluttered pretty quickly. Learn how to streamline your sidebar to bring some zen back to your workspace, as well as some tips and tricks to keep things organized.",
Build a team wiki in Notion,https://www.notion.so/help/guides/team-wiki,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5hniyw4hefcebg6vkJc7yE/6ee81df86ed3be3b4b4d41a11173e039/building-a-team-wiki.png","Whether you share an office or not, it's important to have a central place where your team can find important information about the company - from benefits and vacation policy, to tribal knowledge specific to one team. We'll show you how to build a team wiki from scratch, and a few best practices along the way.",
"Build a website with Notion in seconds, no coding required",https://www.notion.so/help/guides/build-a-website-with-notion-in-seconds-no-coding-required,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4hqbVaCTkObFCg5fSN4hbY/dac216101a625aba49a177e0ff5d379f/publishing-pages.png","Company websites, team blogs, personal resumes and portfolios — we’re seeing these all published to the web using Notion. Skip the cumbersome web developers and create a website without any coding. ",6 min read
Build with me: Key setups for designers,https://www.notion.so/help/guides/build-with-me-key-setups-for-designers,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5Bv92YJo6ZVEIPEFQ7jz7A/559f61af6735ff5b8796d327e38c0879/build-with-me-design.png","Organize all your design projects, prototypes, and assets in Notion — so you never have to track down stakeholder feedback or untangle logo versions. Customer Success Manager Monica Perez shows you how to build a holistic design system in this video tour. ",
Build with me: Notion's project management starter kit,https://www.notion.so/help/guides/build-with-me-notions-project-management-starter-kit,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5mWycBzu7P7y0gk1xmosVK/c30ccc85174ebd422b60cb8854242da1/build-with-me-project.png","Whether you're a product manager, designer, or engineer, we all need to juggle our projects and stay sane. Notion Customer Success Manager Monica Perez teaches you how to build and customize your core project management system step-by-step in Notion.
",
Build with me: The ultimate onboarding experience,https://www.notion.so/help/guides/build-with-me-the-ultimate-onboarding-experience,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3aErWCPQykgGspxx7ClixU/3a727ed4cdfd5342a30133c7fcdf39c5/build-with-me-onboarding.png","If you’re a People Ops or HR leader, you need a highly efficient and central system for onboarding and orienting new employees so they become productive fast. Notion Customer Success Manager Monica Perez shows you how to build a central wiki to get full control and visibility into your HR processes.",
Building a comprehensive team notes & docs database,https://www.notion.so/help/guides/team-notes-and-docs,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7BWXaq6Kwi26lwi83vqKvf/89b374ce33b2d5ce92a17d4e352163b6/building-team-notes.png","Explore our Notion guide to effectively build a comprehensive team notes and docs database. This tutorial video provides step-by-step instructions, simplifying the process and enhancing your team's productivity. ",
Building a product requirement document in Notion,https://www.notion.so/help/guides/building-a-product-requirement-document-in-notion,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7GPap2BdrM8xaQbl4PYDZL/19a0867ebed3a25d81cc131c84fd96fe/building-a-product-requirement-document-in-notion.png","Product managers can use the product requirement document format on Notion to better collaborate with teammates and streamline communication across large, cross-functional teams. ",5 min read
Calendar view databases,https://www.notion.so/help/guides/calendar-view-databases,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6zIgTUYZdBMvEhIEd6oGXA/2d867a72bb2bffcea37fd0a43a45f29d/calendar-view-databases.png","Calendars are a great way to visualize dates from any database in Notion. Use them for your company's social media planning, or add a calendar view to your product management databases.",
Code blocks,https://www.notion.so/help/guides/code-blocks,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/54BE3hhOHpuwEdJWTO1R2T/aef0471caa761e718b1c723fd37e2303/code-blocks.png","Good documentation empowers engineers to spend more time coding, and less time searching around for the code snippets they need. In Notion, it's easy to add code blocks to any document - there's even built in syntax coloring for 60+ programming languages!",
Comments & discussions,https://www.notion.so/help/guides/comments-and-discussions,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5Va3zazVfvyWd4B0HjuU2r/ebdad33540a380f93fbccfdce2c6aaa7/comments-discussions.png","We've all had that thought... ""Did this really have to be a meeting?"" By taking advantage of comments and discussions in Notion, your team can gather feedback asynchronously and move projects forward, and cancel a few meetings along the way.",
Connect your tools to Notion with the API,https://www.notion.so/help/guides/connect-tools-to-notion-api,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/596hi7Bj12VbuxIiVrc1NI/ac282266e5290cad0cd97dc3d406d560/start-building-api.png",Learn what Notion’s API can do and how your team can build integrations to create custom workflows.,4 min read
Connecting tools to Notion,https://www.notion.so/help/guides/connecting-tools-to-notion,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2SeKRnGw6RIJox5heUfXMk/fad9a4816912e0301fc65b06259b59ea/connecting-tools.png","This video will show you how integrations can help you create a frictionless dialogue between the work you’re achieving outside Notion, and the work happening inside the app.",
Create a hybrid work hub,https://www.notion.so/help/guides/create-hybrid-work-hub,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5QgZAIQBheHL8kyTI4gwRQ/4ec74c9e185c75279a2098abaf74b752/hybrid-work-hub__1_.png","Set clear expectations, provide resources, and engage your employees in conversations about your working environment. ",5 min read
Create and use an upvote formula for team decisions,https://www.notion.so/help/guides/create-and-use-an-upvote-formula-for-team-decisions,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/e9TrzPJOhqvYQkOQL6nvI/a0bccaa337a4ae7ac62cb22b23ff9552/upvote.png",Using an upvote formula in a shared database gives teammates a voice and fosters company-wide transparency. ,5 min read
Creating a database,https://www.notion.so/help/guides/creating-a-database,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/tuPWSxsJZ4eprqMPVd7c5/7f01fe24939e5057a1dd03eb70351b74/creating-a-database.png",You can unlock a lot of Notion's most powerful features by using databases. Just click the + New Page button and select a database type to get started.,
Creating a knowledge hub by organizing docs for large teams,https://www.notion.so/help/guides/creating-a-knowledge-hub-by-organizing-docs-for-large-teams,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1v4j1keLN6YD4e3MucY7La/f2cabd6a2f436c16fc910a78b315c546/Docs_and_wikis_for_large_teams.png","Discover how to streamline your team's workflow with our Notion guide. This tutorial video will teach you how to effectively organize your team's documentation and wikis, making it an ideal resource for large teams aiming to enhance their collaboration.",
Creating a page,https://www.notion.so/help/guides/creating-a-page,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3NOGXxdVV5dIdTht2gwssh/ba46b20f8bdf31aad2957d2905c74656/creating-a-page.png",New to Notion? Learn how to get started by adding a new page to your Notion workspace.,
Creating and organizing your reading list using Notion: A step-by-step guide,https://www.notion.so/help/guides/creating-and-organizing-your-reading-list-using-notion-a-step-by-step-guide,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2nDtTZWAYYRjjIl2OVnx7v/33ff510f7964a016eef85ccd4a7cba70/Reading_list.png","Practice the art of creating and organizing a reading list in Notion with our step-by-step guide. Learn how to add your favorite books and articles, and keep your reading materials neatly organized. Start streamlining your reading habits today!",
Creating links & backlinks,https://www.notion.so/help/guides/creating-links-and-backlinks,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/P6W6bUqHlDAUcfRYW7e5s/7ec3310f5a3228b29377e1f5e770dc18/creating-links-and-backlinks.png","Connect your thoughts and ideas with links! Every time you make a link, Notion creates a backlink for you automatically. We'll show you how this can be helpful as you're managing tasks & projects, building a company wiki, or just taking some notes.",
Database properties help organize your team’s information,https://www.notion.so/help/guides/database-properties-help-organize-your-teams-information,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5tGfWSQanTeSaeU4S9hvbM/9feed8a44d054688b7bdddfe7e7d0487/database-properties.png",Add context to the pages in your database with customizable properties. This helps you and your team organize information so that it’s immediately actionable.  ,6 min read
First steps when introducing Notion to a new teammate,https://www.notion.so/help/guides/first-steps-introduce-Notion-teammate,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6Q8sQDEYBu6NWY0AXgRoRj/c7ee6bd5ed0e4bd9b6c428201e581e07/first-steps-introduce-Notion-teammate__1_.png","If you're a passionate user looking to elevate your team's Notion use — this guide will give you steps, templates, and resources that you can use to showcase the tool's power. ",5 min read
